,url,time_control,EndDate,isProfilePlayerWon,isProfilePlayerLost,isProfilePlayerDrawn,terminationType,Opening
7762,https://www.chess.com/game/live/49995040239,300+5,2022.06.26,False,True,False,by checkmate,Pirc-Defense-Semi-Classical-Variation-4...Bg7-5.Be3
7763,https://www.chess.com/game/live/49995645601,300+5,2022.06.26,True,False,False,by resignation,Scotch-Game-Classical-Variation-5.Be3
7764,https://www.chess.com/game/live/49996220251,300+5,2022.06.26,True,False,False,by resignation,Scotch-Game
7765,https://www.chess.com/game/live/49999865541,120+1,2022.06.26,False,True,False,by resignation,Mieses-Opening-1...d5
7766,https://www.chess.com/game/live/50000379855,120+1,2022.06.26,False,True,False,by checkmate,Queens-Pawn-Opening-Accelerated-London-Steinitz-Countergambit-3.e3
7767,https://www.chess.com/game/live/50000470263,120+1,2022.06.26,True,False,False,on time,Queens-Gambit-Declined-Marshall-Defense-3.cxd5-Nxd5-4.e4-Nb6-5.Nc3
7768,https://www.chess.com/game/live/50000996401,120+1,2022.06.26,True,False,False,by resignation,Sicilian-Defense-Kan-Knight-Variation-5...Qc7-6.Be2
7769,https://www.chess.com/game/live/50001055279,120+1,2022.06.26,False,True,False,by checkmate,Giuoco-Piano-Game-Giuoco-Pianissimo-Variation-4...Nf6
7770,https://www.chess.com/game/live/50001573913,120+1,2022.06.26,True,False,False,by resignation,Four-Knights-Game-Scotch-Variation-Accepted-5.Nxd4
7771,https://www.chess.com/game/live/50005828021,120+1,2022.06.26,False,True,False,on time,French-Defense-Normal-Variation-2...b6-3.Nf3-Bb7
7772,https://www.chess.com/game/live/50006366585,120+1,2022.06.26,True,False,False,on time,Caro-Kann-Defense-2.d4-d5-3.Nf3
7773,https://www.chess.com/game/live/50100029535,300+5,2022.06.27,True,False,False,on time,Italian-Game-Two-Knights-Modern-Bishops-Opening-4...h6-5.O-O
7774,https://www.chess.com/game/live/50100588153,300+5,2022.06.27,False,True,False,by resignation,Scotch-Game-Classical-Variation-5.Be3-Qf6-6.c3-Nge7-7.g3
7775,https://www.chess.com/game/live/50104227997,300+5,2022.06.27,False,True,False,by resignation,French-Defense-Mediterranean-Defense
7776,https://www.chess.com/game/live/50266820027,120+1,2022.06.29,False,True,False,by resignation,French-Defense-Exchange-Variation-3...exd5-4.Nc3-Bb4
7777,https://www.chess.com/game/live/50276961139,120+1,2022.06.29,True,False,False,on time,Caro-Kann-Defense-Two-Knights-Attack
7778,https://www.chess.com/game/live/50326817527,300+5,2022.06.30,False,False,True,Game drawn by agreement,Queens-Gambit-Declined-Marshall-Defense-3.Nc3
7779,https://www.chess.com/game/live/50687433733,120+1,2022.07.04,True,False,False,on time,Ponziani-Opening-Jaenisch-Counterattack-4.d4-exd4-5.e5-Nd5-6.cxd4
7780,https://www.chess.com/game/live/50687967471,120+1,2022.07.04,True,False,False,on time,Queens-Pawn-Opening-Chigorin-Variation-2...Nf6
7781,https://www.chess.com/game/live/50688071877,120+1,2022.07.04,True,False,False,by resignation,Scotch-Game-Steinitz-Modern-Defense-6.Be2
7782,https://www.chess.com/game/live/50688553875,120+1,2022.07.04,True,False,False,by checkmate,Scotch-Game-Classical-Variation-5.Be3-Qf6-6.c3-Nge7
7783,https://www.chess.com/game/live/50692201245,120+1,2022.07.04,False,True,False,by resignation,Scotch-Game-3...exd4-4.Nxd4-d6
